15.40, 15.60, 0.10, 4.02
15.60, 15.80, 0.10, 4.02
15.80, 16.00, 0.10, 4.02
16.00, 16.20, 0.10, 4.02
16.20, 16.40, 0.10, 4.02
16.40, 16.60, 0.10, 4.02
16.60, 16.80, 0.10, 4.02
16.80, 17.00, 0.09, 3.91
17.00, 17.20, 0.10, 4.13
17.20, 17.40, 0.10, 4.02
17.40, 17.60, 0.09, 3.97
17.60, 17.80, 0.10, 4.02
17.80, 18.00, 0.10, 4.02
18.00, 18.20, 0.09, 3.97
18.20, 18.40, 0.10, 4.08
18.40, 18.60, 0.10, 4.02
18.60, 18.80, 0.09, 3.97
18.80, 19.00, 0.10, 4.08
19.00, 19.20, 0.10, 4.02
19.20, 19.40, 0.10, 4.02
19.40, 19.60, 0.10, 4.02
19.60, 19.80, 0.10, 4.02
19.80, 20.00, 0.09, 3.97
20.00, 20.20, 0.10, 4.08
20.20, 20.40, 0.10, 4.02
20.40, 20.60, 0.09, 3.97
20.60, 20.80, 0.10, 4.08
20.80, 21.00, 0.09, 3.97
21.00, 21.20, 0.10, 4.02
21.20, 21.40, 0.10, 4.08
21.40, 21.60, 0.10, 4.02
21.60, 21.80, 0.09, 3.97
21.80, 22.00, 0.10, 4.02
22.00, 22.20, 0.10, 4.02
22.20, 22.40, 0.10, 4.02
22.40, 22.60, 0.10, 4.02
22.60, 22.80, 0.10, 4.02
22.80, 23.00, 0.10, 4.02
23.00, 23.20, 0.10, 4.02
23.20, 23.40, 0.09, 3.97
23.40, 23.60, 0.10, 4.02
23.60, 23.80, 0.10, 4.02
23.80, 24.00, 0.10, 4.08
24.00, 24.20, 0.09, 3.97
24.20, 24.40, 0.10, 4.08
24.40, 24.60, 0.09, 3.97
24.60, 24.80, 0.10, 4.08
24.80, 25.00, 0.10, 4.02
25.00, 25.20, 0.10, 4.02
25.20, 25.40, 0.09, 3.97
25.40, 25.60, 0.10, 4.02
25.60, 25.80, 0.10, 4.02
25.80, 26.00, 0.10, 4.02
26.00, 26.20, 0.10, 4.02
26.20, 26.40, 0.09, 3.97
26.40, 26.60, 0.10, 4.08
26.60, 26.80, 0.10, 4.02
