------------------------------------------------------------
Server listening on TCP port 5001 with pid 6565
Read buffer size: 20.0 MByte
TCP window size: 0.08 MByte (default)
------------------------------------------------------------
[  4] local 192.168.2.6 port 5001 connected with 188.206.99.238 port 51524
[ ID] Interval        Transfer    Bandwidth       Reads   Dist(bin=2560.0K)
[  4] 0.00-0.20 sec  0.20 MBytes  8.32 Mbits/sec  90    90:0:0:0:0:0:0:0
[  4] 0.20-0.40 sec  0.25 MBytes  10.4 Mbits/sec  69    69:0:0:0:0:0:0:0
[  4] 0.40-0.60 sec  0.51 MBytes  21.5 Mbits/sec  72    72:0:0:0:0:0:0:0
[  4] 0.60-0.80 sec  0.25 MBytes  10.6 Mbits/sec  70    70:0:0:0:0:0:0:0
[  4] 0.80-1.00 sec  0.32 MBytes  13.3 Mbits/sec  71    71:0:0:0:0:0:0:0
[  4] 1.00-1.20 sec  0.32 MBytes  13.2 Mbits/sec  73    73:0:0:0:0:0:0:0
[  4] 1.20-1.40 sec  0.33 MBytes  13.9 Mbits/sec  71    71:0:0:0:0:0:0:0
[  4] 1.40-1.60 sec  0.34 MBytes  14.2 Mbits/sec  73    73:0:0:0:0:0:0:0
[  4] 1.60-1.80 sec  0.33 MBytes  13.8 Mbits/sec  71    71:0:0:0:0:0:0:0
[  4] 1.80-2.00 sec  0.33 MBytes  14.0 Mbits/sec  69    69:0:0:0:0:0:0:0
[  4] 2.00-2.20 sec  0.34 MBytes  14.1 Mbits/sec  74    74:0:0:0:0:0:0:0
[  4] 2.20-2.40 sec  0.33 MBytes  13.7 Mbits/sec  69    69:0:0:0:0:0:0:0
[  4] 2.40-2.60 sec  0.35 MBytes  14.8 Mbits/sec  69    69:0:0:0:0:0:0:0
[  4] 2.60-2.80 sec  0.33 MBytes  13.9 Mbits/sec  69    69:0:0:0:0:0:0:0
[  4] 2.80-3.00 sec  0.32 MBytes  13.3 Mbits/sec  73    73:0:0:0:0:0:0:0
[  4] 3.00-3.20 sec  0.34 MBytes  14.1 Mbits/sec  68    68:0:0:0:0:0:0:0
[  4] 3.20-3.40 sec  0.34 MBytes  14.3 Mbits/sec  70    70:0:0:0:0:0:0:0
[  4] 3.40-3.60 sec  0.34 MBytes  14.2 Mbits/sec  72    72:0:0:0:0:0:0:0
[  4] 3.60-3.80 sec  0.34 MBytes  14.3 Mbits/sec  69    69:0:0:0:0:0:0:0
[  4] 3.80-4.00 sec  0.32 MBytes  13.5 Mbits/sec  72    72:0:0:0:0:0:0:0
[  4] 4.00-4.20 sec  0.49 MBytes  20.7 Mbits/sec  111    111:0:0:0:0:0:0:0
[  4] 4.20-4.40 sec  0.24 MBytes  10.1 Mbits/sec  130    130:0:0:0:0:0:0:0
