------------------------------------------------------------
Server listening on TCP port 5001 with pid 31524
Read buffer size: 20.0 MByte
TCP window size: 0.08 MByte (default)
------------------------------------------------------------
[  4] local 192.168.2.6 port 5001 connected with 188.206.99.238 port 60585
[ ID] Interval        Transfer    Bandwidth       Reads   Dist(bin=2560.0K)
[  4] 13.40-13.60 sec  0.10 MBytes  4.08 Mbits/sec  72    72:0:0:0:0:0:0:0
[  4] 13.60-13.80 sec  0.10 MBytes  4.02 Mbits/sec  70    70:0:0:0:0:0:0:0
[  4] 13.80-14.00 sec  0.10 MBytes  4.02 Mbits/sec  69    69:0:0:0:0:0:0:0
[  4] 14.00-14.20 sec  0.10 MBytes  4.02 Mbits/sec  73    73:0:0:0:0:0:0:0
[  4] 14.20-14.40 sec  0.09 MBytes  3.97 Mbits/sec  69    69:0:0:0:0:0:0:0
[  4] 14.40-14.60 sec  0.09 MBytes  3.97 Mbits/sec  71    71:0:0:0:0:0:0:0
[  4] 14.60-14.80 sec  0.10 MBytes  4.02 Mbits/sec  70    70:0:0:0:0:0:0:0
[  4] 14.80-15.00 sec  0.10 MBytes  4.13 Mbits/sec  73    73:0:0:0:0:0:0:0
[  4] 15.00-15.20 sec  0.10 MBytes  4.02 Mbits/sec  73    73:0:0:0:0:0:0:0
[  4] 15.20-15.40 sec  0.09 MBytes  3.91 Mbits/sec  65    65:0:0:0:0:0:0:0
[  4] 15.40-15.60 sec  0.10 MBytes  4.08 Mbits/sec  71    71:0:0:0:0:0:0:0
[  4] 15.60-15.80 sec  0.10 MBytes  4.02 Mbits/sec  71    71:0:0:0:0:0:0:0
[  4] 15.80-16.00 sec  0.10 MBytes  4.02 Mbits/sec  71    71:0:0:0:0:0:0:0
[  4] 16.00-16.20 sec  0.10 MBytes  4.02 Mbits/sec  72    72:0:0:0:0:0:0:0
[  4] 16.20-16.40 sec  0.10 MBytes  4.02 Mbits/sec  69    69:0:0:0:0:0:0:0
[  4] 16.40-16.60 sec  0.10 MBytes  4.02 Mbits/sec  71    71:0:0:0:0:0:0:0
[  4] 16.60-16.80 sec  0.10 MBytes  4.02 Mbits/sec  73    73:0:0:0:0:0:0:0
[  4] 16.80-17.00 sec  0.10 MBytes  4.02 Mbits/sec  71    71:0:0:0:0:0:0:0
[  4] 17.00-17.20 sec  0.10 MBytes  4.02 Mbits/sec  72    72:0:0:0:0:0:0:0
[  4] 17.20-17.40 sec  0.10 MBytes  4.02 Mbits/sec  72    72:0:0:0:0:0:0:0
[  4] 17.40-17.60 sec  0.10 MBytes  4.02 Mbits/sec  71    71:0:0:0:0:0:0:0
[  4] 17.60-17.80 sec  0.06 MBytes  2.37 Mbits/sec  43    43:0:0:0:0:0:0:0
[  4] 17.80-18.00 sec  0.00 MBytes  0.00 Mbits/sec  0    0:0:0:0:0:0:0:0
[  4] 18.00-18.20 sec  0.23 MBytes  9.64 Mbits/sec  7    7:0:0:0:0:0:0:0
[  4] 18.20-18.40 sec  0.09 MBytes  3.91 Mbits/sec  70    70:0:0:0:0:0:0:0
[  4] 18.40-18.60 sec  0.10 MBytes  4.13 Mbits/sec  73    73:0:0:0:0:0:0:0
[  4] 18.60-18.80 sec  0.01 MBytes  0.61 Mbits/sec  11    11:0:0:0:0:0:0:0
[  4] 18.80-19.00 sec  0.18 MBytes  7.38 Mbits/sec  49    49:0:0:0:0:0:0:0
[  4] 19.00-19.20 sec  0.09 MBytes  3.86 Mbits/sec  28    28:0:0:0:0:0:0:0
[  4] 19.20-19.40 sec  0.10 MBytes  4.02 Mbits/sec  73    73:0:0:0:0:0:0:0
[  4] 19.40-19.60 sec  0.09 MBytes  3.97 Mbits/sec  49    49:0:0:0:0:0:0:0
[  4] 19.60-19.80 sec  0.10 MBytes  4.08 Mbits/sec  72    72:0:0:0:0:0:0:0
