jun_07_2018_23_50, 13.03
jun_08_2018_00_50, 14.23
jun_08_2018_01_50, 14.23
jun_08_2018_02_50, 14.20
jun_08_2018_03_50, 14.27
jun_08_2018_04_50, 14.30
jun_08_2018_05_50, 14.20
jun_08_2018_06_50, 14.12
jun_08_2018_07_50, 13.73
jun_08_2018_08_50, 13.65
jun_08_2018_09_50, 13.36
jun_08_2018_10_50, 13.50
jun_08_2018_11_50, 13.39
jun_08_2018_12_50, 13.50
jun_08_2018_13_50, 13.33
jun_08_2018_14_50, 13.73
jun_08_2018_15_50, 13.83
jun_08_2018_16_50, 13.58
jun_08_2018_17_50, 13.39
jun_08_2018_18_50, 13.18
jun_08_2018_19_50, 13.60
jun_08_2018_20_50, 13.57
jun_08_2018_21_50, 13.83
jun_08_2018_22_50, 13.92
jun_08_2018_23_50, 13.93
jun_09_2018_00_50, 13.97
jun_09_2018_01_50, 14.03
jun_09_2018_02_50, 14.23
jun_09_2018_03_50, 14.26
jun_09_2018_04_50, 14.30
jun_09_2018_05_50, 14.30
jun_09_2018_06_50, 14.13
jun_09_2018_07_50, 14.23
jun_09_2018_08_50, 13.96
jun_09_2018_09_50, 13.72
jun_09_2018_10_50, 13.79
jun_09_2018_11_50, 13.77
jun_09_2018_12_50, 13.63
jun_09_2018_13_50, 13.53
jun_09_2018_14_50, 13.72
jun_09_2018_15_50, 13.73
jun_09_2018_16_50, 13.93
jun_09_2018_17_50, 13.83
jun_09_2018_18_50, 13.80
jun_09_2018_19_50, 13.38
jun_09_2018_20_50, 12.06
jun_09_2018_21_50, 13.72
jun_09_2018_22_50, 13.76
jun_09_2018_23_50, 13.36
jun_10_2018_00_50, 14.03
jun_10_2018_01_50, 14.10
jun_10_2018_02_50, 14.03
jun_10_2018_03_50, 14.20
jun_10_2018_04_50, 14.06
jun_10_2018_05_50, 14.23
jun_10_2018_06_50, 14.13
jun_10_2018_07_50, 14.17
jun_10_2018_08_50, 14.02
jun_10_2018_09_50, 13.66
jun_10_2018_10_50, 13.65
jun_10_2018_11_50, 13.38
jun_10_2018_12_50, 13.46
jun_10_2018_13_50, 13.82
jun_10_2018_14_50, 13.02
jun_10_2018_15_50, 13.80
jun_10_2018_16_50, 13.63
jun_10_2018_17_50, 13.90
jun_10_2018_18_50, 13.58
jun_10_2018_19_50, 20.50
jun_10_2018_20_50, 10.09
jun_10_2018_21_50, 13.73
jun_10_2018_22_50, 13.63
jun_10_2018_23_50, 13.93
